,spam,msg_length,msg
117,1,152,winner u specially selected receive holiday flight inc speak live operator claim p min
118,0,72,goodo yes must speak friday egg potato ratio tortilla needed
119,0,86,hmm uncle informed paying school directly pls buy food
120,1,144,private account statement show unredeemed bonus point claim call identifier code expires
121,1,156,urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm
122,0,53,new address apple pair malarky
123,1,156,today voda number ending selected receive award match please call quoting claim code standard rate app
124,0,52,going sao mu today done
125,0,38,predict wat time finish buying
126,0,20,good stuff
127,0,244,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
128,0,22,room
129,0,107,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
130,0,28,k k much cost
131,0,9,home
132,0,39,dear call tmorrow pls accomodate
133,0,25,first answer question
134,1,125,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
135,1,162,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p
136,0,38,haf msn yijue hotmail com
137,0,34,call meet
138,0,46,check room befor activity
139,1,155,rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
140,0,85,got c lazy type forgot lect saw pouch like v nice
141,0,33,k text way
142,0,27,sir waiting mail
143,0,156,swt thought nver get tired little thing lovable person coz somtimes little thing occupy biggest part heart gud ni
144,0,42,know pls open back
145,0,25,yes see ya dot
146,0,48,whats staff name taking class u
147,1,159,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
148,0,84,ummma call check life begin qatar pls pray hard
149,0,33,k deleted contact
150,0,30,sindu got job birla soft
151,0,45,wine flowing nevering
152,0,59,yup thk cine better co need go plaza mah
153,0,25,ok ur typical reply
154,0,160,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
155,0,384,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one
156,0,28,aaooooright work
157,0,27,leaving house
158,0,157,hello love get interview today happy good boy think missing
159,1,124,customer service annoncement new year delivery waiting please call arrange delivery
160,1,145,winner u specially selected receive cash holiday flight inc speak live operator claim
161,0,115,keep safe need miss already envy everyone see real life
162,0,64,new car house parent new job hand
163,0,85,love excited day spend make happy
164,1,152,pls stop bootydelious f inviting friend reply yes see www sm ac u bootydelious stop send stop frnd
165,1,155,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu
166,0,51,place ur point e culture module already
167,1,156,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr
168,0,74,hi frnd best way avoid missunderstding wit beloved one
169,0,67,great escape fancy bridge need lager see tomo
170,0,59,yes completely form clark also utter waste
171,0,50,sir need axis bank account bank address
172,0,94,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
173,0,33,time coming later
174,0,105,bloody hell cant believe forgot surname mr ill give u clue spanish begin
175,0,61,well gon na finish bath good fine night
176,0,65,let know got money carlos make call
177,0,26,u still going mall
178,0,146,turn friend staying whole show back til lt gt feel free go ahead smoke lt gt worth
179,0,66,text doesnt reply let know log
180,0,126,hi spoke maneesha v like know satisfied experience reply toll free yes
181,0,159,lifted hope offer money need especially end month approach hurt studying anyways gr weekend
182,0,23,lol u trust
183,0,65,ok gentleman treat dignity respect
184,0,24,guy close
185,0,26,going nothing great bye
186,0,152,hello handsome finding job lazy working towards getting back net mummy boytoy miss
187,0,34,haha awesome minute
188,1,147,please call customer service representative freephone pm guaranteed cash prize
189,0,55,got xmas radio time get
190,0,88,jus reached home go bathe first si using net tell u finish k
191,1,72,unique enough find th august www areyouunique co uk
192,0,185,sorry joined league people dont keep touch mean great deal friend time even great personal cost great week
193,0,37,hi finally completed course
194,0,111,stop however suggest stay someone able give or every stool
195,0,92,hope settled new school year wishin gr day
196,0,28,gud mrng dear hav nice day
197,0,28,u got person story
198,0,64,hamster dead hey tmr meet pm orchard mrt
199,0,131,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
200,0,40,found enc lt gt
201,0,28,sent lt gt buck
202,0,84,hello darlin ive finished college txt u finish u love kate xxx
203,0,174,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
204,0,24,goodmorning sleeping ga
205,0,25,u call alter ok
206,0,63,say like dat dun buy ericsson oso oredi lar
207,0,156,entered cabin pa said happy b day bos felt special askd lunch lunch invited apartment went
208,0,28,aight yo dat straight dogg
209,0,86,please give u connection today lt decimal gt refund bill
210,0,39,shoot big load get ready
211,0,73,bruv hope great break rewarding semester
212,0,26,home always chat
213,0,23,k k good study well
214,0,23,yup noe leh
215,0,31,sound great home
216,0,58,finally match heading towards draw prediction
217,0,48,tired slept well past night
218,0,41,easy ah sen got selected mean good
219,0,32,take exam march
220,0,159,yeah think use gt atm register sure anyway help let know sure ready
221,0,25,ok prob take ur time
222,0,161,o called ubandu run without installing hard disk use o copy important file system give repair shop
223,0,22,sorry call later
224,0,119,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
225,1,142,new mobile must go txt nokia collect today www tc biz optout gbp mtmsg
226,0,69,would really appreciate call need someone talk
227,1,137,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
228,0,30,hey company elama po mudyadhu
229,0,165,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
230,0,34,dear good morning
231,0,109,get gandhipuram walk cross cut road right side lt gt street road turn first right
232,0,37,dear going rubber place
233,0,33,sorry battery died yeah
234,0,48,yes tv always available work place
235,1,157,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recd thirtyeight penny
236,0,50,printed oh lt gt come upstairs
237,0,65,ill little closer like bus stop street
238,0,38,wil reach
239,0,145,new theory argument win situation loses person dont argue ur friend kick amp say always correct
240,1,145,u secret admirer looking make contact u find r reveal think ur special call
241,0,51,tomarrow final hearing laptop case cant
242,0,45,pleassssssseeeeee tel v avent done sportsx
243,0,83,okay shining meant signing sound better
244,0,155,although told u dat baig face watch really like e watch u gave co fr u thanx everything dat u done today touched
245,0,37,u remember old commercial
246,0,78,late said website dont slipper
247,0,30,asked call ok
248,0,31,kallis wont bat nd inning
249,0,146,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep
250,1,150,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
251,0,44,ranjith cal drpd deeraj deepak min hold
252,0,179,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
253,0,27,
254,0,179,ups day also shipping company take wks way usps take week get lag may bribe nipost get stuff
255,0,38,back lem know ready
256,0,97,necessarily expect done get back though headin
257,0,43,mmm yummy babe nice jolt suzy
258,0,36,lover need
259,1,154,tried contact reply offer video handset anytime network min unlimited text camcorder reply call
260,0,72,parked next mini coming today think
261,0,3,yup
262,0,85,anyway going shopping co si done yet dun disturb u liao
263,0,51,luton ring ur around h
264,1,121,hey really horny want chat see naked text hot text charged pm unsubscribe text stop
265,0,26,dint come u
266,0,35,wana plan trip sometme
267,0,47,sure yet still trying get hold
268,1,159,ur ringtone service changed free credit go club mobile com choose content stop txt club stop p wk club po box mk wt
269,0,47,evo download flash jealous
270,1,133,ringtone club get uk single chart mobile week choose top quality ringtone message free charge
271,0,53,come mu sorting narcotic situation
272,0,147,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay
273,1,155,hmv bonus special pound genuine hmv voucher answer easy question play send hmv info www percent real com
274,0,37,usf guess might well take car
275,0,31,objection bf coming
276,0,8,thanx
277,0,38,tell rob mack gf theater
278,0,30,awesome see bit
279,0,47,sent type food like
280,0,56,done handed celebration full swing yet
281,0,22,got called tool
282,0,141,wen u miss someone person definitely special u person special miss keep touch gdeve
283,0,29,ok asked money far
284,0,7,okie
285,0,121,yeah think usual guy still passed last night get ahold anybody let know throw
286,0,58,k might come tonight class let early
287,0,4,ok
288,0,148,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx
289,0,160,life mean lot love life love people life world call friend call world ge
290,0,152,dear shall mail tonite busy street shall update tonite thing looking ok varunnathu edukkukayee raksha ollu good one real sense
291,0,37,hey told name gautham ah
292,0,55,haf u found feel stupid da v cam working
293,0,21,oops got bit
294,0,22,much buzy
295,0,50,accidentally deleted message resend please
296,1,159,mobile customer may claim free camera phone upgrade pay go sim card loyalty call offer end thfeb c apply
297,0,67,unless situation go gurl would appropriate
298,0,153,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
299,0,51,cant pick phone right pls send message
300,0,67,need coffee run tomo believe time week already
301,0,88,awesome remember last time got somebody high first time diesel v
302,0,157,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
303,0,91,oh way food fridge want go meal tonight
304,0,24,womdarfull actor
305,1,146,sm ac blind date u rodds aberdeen united kingdom check http img sm ac w icmb cktz r blind date send hide
306,0,57,yup remb think book
307,0,26,jos ask u wana meet
308,0,71,lol yes friendship hanging thread cause u buy stuff
309,1,138,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap
310,0,55,garage key bookshelf
311,0,156,today accept day u accept brother sister lover dear best clos lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
312,1,133,think ur smart win week weekly quiz text play c winnersclub po box uz gbp week
313,0,119,say give call friend got money definitely buying end week
314,0,142,hi way u day normal way real ur unique hope know u rest mylife hope u find wot lost
315,0,41,made day great day
316,0,26,k k advance happy pongal
317,0,119,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
318,0,46,really dude friend afraid
319,1,157,december mobile mths entitled update latest colour camera mobile free call mobile update co free
320,0,23,coffee cake guess
321,0,51,merry christmas babe love ya kiss
322,0,62,hey dont go watch x men lunch haha
323,0,107,cud u tell ppl im gona b bit l co bus hav gon past co full im still waitin pete x
324,0,157,would great guild could meet bristol road somewhere get touch weekend plan take flight good week
325,0,30,problem
326,0,32,call message missed call
327,0,31,hi da today class
328,0,79,say good sign well know track record reading woman
329,0,32,cool text parked
330,0,86,reading text sent meant joke read light
331,0,22,k k apo k good movie
332,0,76,maybe could get book tomo return immediately something
333,1,128,call germany penny per minute call fixed line via access number prepayment direct access
334,0,232,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
335,1,158,valentine day special win quiz take partner trip lifetime send go p msg rcvd custcare
336,0,45,ta daaaaa home babe still
337,0,57,cool come havent wined dined
338,0,26,sleeping surfing
339,0,22,sorry call later
340,0,41,u calling right call hand phone
341,0,28,ok great thanx lot
342,0,151,take post come must text happy reading one wiv hello caroline end favourite bless
343,0,29,u hiding stranger
344,0,34,interested like
345,0,52,sister cleared two round birla soft yesterday
346,0,33,gudnite tc practice going
347,0,85,dis yijue jus saw ur mail case huiming havent sent u num dis num
348,0,31,one small prestige problem
349,1,111,fancy shag interested sextextuk com txt xxuk suzy txts cost per msg tncs website x
350,0,78,checking really miss seeing jeremiah great month
351,0,50,nah help never iphone
352,0,63,car hour half going apeshit
353,0,148,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
354,0,129,yo guy ever figure much need alcohol jay trying figure much safely spend weed
355,0,45,lt gt ish minute minute ago wtf
356,0,202,thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
357,1,150,congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music tncs www ldew com win ppmx age
358,1,148,ur cash balance currently pound maximize ur cash send cash p msg cc hg suite land row w j hl
359,0,168,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday
360,0,85,hello got st andrew boy long way cold keep posted
361,0,38,ha ha cool cool chikku chikku db
362,0,15,oh ok prob
363,0,31,check audrey status right
364,0,88,busy trying finish new year looking forward finally meeting
365,0,160,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always
366,0,50,well know z take care worry
367,1,165,update xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call mobileupd call optout f q
368,1,129,discount code rp stop message reply stop www regalportfolio co uk customer service
369,0,26,wat uniform get
370,0,31,cool text ready
371,0,129,hello boytoy geeee miss already woke wish bed cuddling love
372,0,34,spoil bed well
373,0,54,going bath msg next lt gt min
374,0,162,cant keep talking people sure pay agree price pls tell want really buy much willing pay
375,1,157,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service
376,0,23,say happen
377,0,53,could seen recognise face
378,0,131,well lot thing happening lindsay new year sigh bar ptbo blue heron something going
379,0,36,keep payasam rinu brings
380,0,143,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake
381,0,300,guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin
382,0,59,yeah sure give couple minute track wallet
383,0,42,hey leave big deal take care
384,0,41,hey late ah meet
385,1,149,double min txts month free bluetooth orange available sony nokia motorola phone call mobileupd call optout n dx
386,0,22,took mr owl lick
387,0,31,customer place call
388,0,30,mm time dont like fun
389,1,155,mths half price orange line rental latest camera phone free phone mths call mobilesdirect free update stoptxt
390,0,47,yup lunch buffet u eat already
391,0,25,huh late fr dinner
392,0,80,hey sat going intro pilate kickboxing
393,0,22,morning ok
394,0,115,yes think office lap room think thats last day didnt shut
395,0,56,pick bout ish time going
396,0,102,performance award calculated every two month current one month period
397,0,118,actually sleeping still might u call back text gr rock si send u text wen wake
398,0,221,always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated
399,0,204,good evening sir al salam wahleykkum sharing happy news grace god got offer tayseer tissco joined hope fine inshah allah meet sometime rakhesh visitor india
400,0,114,hmmm k want change field quickly da wan na get system administrator network administrator
401,1,156,free ringtone text first poly text get true tone help st free tone x pw e nd txt stop
402,0,39,dear chechi talk
403,0,36,hair cream shipped
404,0,48,none happening til get though
405,0,77,yep great loxahatchee xmas tree burning lt gt start hour
406,0,60,haha get used driving usf man know lot stoner
407,0,168,well slightly disastrous class pm fav darling hope day ok coffee wld good stay late tomorrow time place always
408,0,51,hello good week fancy drink something later
409,0,22,headin towards busetop
410,0,152,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
411,0,75,come room point iron plan weekend
412,0,30,co want thing
413,0,95,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah
414,0,24,bring home wendy
415,1,49,dating service cal l box sk ch
416,0,35,whatsup dont u want sleep
417,0,29,alright new goal
418,1,106,free entry weekly competition text word win c www txttowin co uk
419,0,66,alright head minute text meet
420,1,159,send logo ur lover name joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ad p
421,0,48,yes last week taking live call
422,1,162,someone contacted dating service entered phone fancy find call landline pobox n tf p
423,0,24,siva hostel aha
424,1,136,urgent mobile number awarded prize guaranteed call land line claim valid hr
425,0,248,send ur friend receive something ur voice speaking expression childish naughty sentiment rowdy ful attitude romantic shy attractive funny lt gt irritating lt gt lovable reply
426,0,25,ok ok guess
427,0,27,aathi dear
428,0,37,pain urination thing else
429,0,68,esplanade mind giving lift co got car today
430,0,150,wnt buy bmw car urgently vry urgent hv shortage lt gt lac source arng dis amt lt gt lac thats prob
431,0,24,home watching tv lor
432,0,80,usually take fifteen fucking minute respond yes question
433,1,157,congrats nokia video camera phone call call cost ppm ave call min vary mobile close post bcm ldn wc n xx
434,0,25,booked ticket pongal
435,0,73,available like right around hillsborough amp lt gt th
436,0,89,message sent askin lt gt dollar shoul pay lt gt lt gt
437,0,58,ask g iouri told story like ten time already
438,0,36,long applebees fucking take
439,0,76,hi hope u get txt journey hasnt gd min late think
440,0,47,like love arrange
441,0,104,yes really great bhaji told kallis best cricketer sachin world tough get
442,0,38,supposed wake gt
443,0,69,oic saw tot din c found group liao
444,0,22,sorry call later
445,0,119,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx
446,0,94,sorry battery died come getting gram place
447,0,70,well done blimey exercise yeah kinda remember wot hmm
448,0,73,wont get concentration dear know mind everything
449,0,42,lol made plan new year
450,0,17,min later k
451,0,13,hank lotsly
452,0,45,thanks hope good day today
453,0,57,k k detail want transfer acc enough
454,0,105,ok tell stay yeah tough optimistic thing improve month
455,1,162,loan purpose homeowner tenant welcome previously refused still help call free text back help
456,0,47,si si think ill go make oreo truffle
457,0,115,look amy ure beautiful intelligent woman like u lot know u like like worry
458,0,158,hope result consistently intelligent kind start asking practicum link keep ear open best ttyl
459,0,79,call cost guess isnt bad miss ya need ya want ya love ya
460,0,142,going thru different feeling wavering decision coping individual time heal everything believe
461,0,62,u go phone gon na die stay
462,0,71,great never better day give even reason thank god
463,1,175,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end th july c apply opt available
464,0,29,sorry call later ok bye
465,0,29,ok way railway
466,0,148,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night
467,0,83,put stuff road keep getting slippery
468,0,37,going ride bike
469,0,44,yup need jus wait e rain stop
470,0,45,many company tell language
471,1,161,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae box cw wx ppm
472,0,50,long since screamed princess
473,0,298,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also differ sure trust ja person sending account detail co
474,1,159,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan nyt ec p msg p
475,0,125,nice line said broken heart plz cum time infront wise trust u good
476,0,51,ok gon na head usf like fifteen minute
477,0,28,love aathi love u lot
478,0,34,tension ah machi problem
479,0,46,k pick another th done
480,0,81,guy getting back g said thinking staying mcr
481,0,28,almost see u sec
482,0,90,yo carlos friend already asking working weekend
483,0,18,watching tv lor
484,0,54,thank baby cant wait taste real thing
485,0,55,change fb jaykwon thuglyfe falconerf
486,0,45,win really side long time
487,1,146,free message activate free text message replying message word free term condition visit www com
488,0,40,dear reached railway happen
489,0,107,depends quality want type sent boye faded glory want ralphs maybe
490,0,50,think fixed send test message
491,0,120,sorry man account dry would want could trade back half could buy shit credit card
492,1,160,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss
493,0,32,sorry meeting call later
494,0,34,class lt gt reunion
495,0,32,free call
496,0,16,got meh
497,0,67,nope think go monday sorry replied late
498,0,55,told accenture confirm true
499,0,43,kate jackson rec center ish right
500,0,23,dear reache room
501,0,149,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
502,0,20,come
503,0,23,check nuerologist
504,0,40,lolnice went fish water
505,1,169,congratulation week competition draw u prize claim call b c stop sm ppm
506,0,117,waiting e car dat bored wat co wait outside got nothing home stuff watch tv wat
507,0,62,maybe westshore hyde park village place near house
508,0,166,know anthony bringing money school fee pay rent stuff like thats need help friend need
509,0,24,significance
510,0,136,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
511,0,99,latest g still scrounge ammo want give new ak try
512,0,45,prabha soryda realy frm heart sory
513,0,23,lol ok forgiven
514,0,25,jst change tat
515,1,147,guaranteed latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw h p mtmsgrcvd
516,0,26,competition
517,1,146,boltblue tone p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tone txt
518,1,89,credit topped http www bubbletext com renewal pin tgxxrz
519,0,168,way transport le problematic sat night way u want ask n join bday feel free need know definite no booking fri
520,0,117,usually person unconscious child adult may behave abnormally call
521,0,46,ebay might le elsewhere
522,0,26,shall come get pickle
523,0,28,gon na go get taco
524,0,32,rude campus
525,1,144,urgent mobile awarded bonus caller prize nd attempt contact call box qu
526,0,57,hi b ard christmas enjoy n merry x ma
527,1,158,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x
528,0,42,yes pretty lady like single
529,1,111,recieve tone within next hr term condition please see channel u teletext pg
530,0,36,jay say double faggot
531,1,146,private account statement show un redeemed point call identifier code expires
532,0,50,today sunday sunday holiday work
533,0,33,gudnite tc practice going
534,0,15,late
535,0,177,called hoping l r malaria know miss guy miss ban big pls give love especially great day
536,0,160,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea
537,0,63,probably gon na see later tonight lt
538,0,84,maybe fat finger press button know
539,0,84,ummmmmaah many many happy return day dear sweet heart happy birthday dear
540,0,57,tirupur da started office call
541,1,96,www applausestore com monthlysubscription p msg max month csc web age stop txt stop
542,0,169,famous quote develop ability listen anything unconditionally without losing temper self confidence mean married
543,0,76,going college pa else ill come self pa
544,0,47,oclock mine bash flat plan
545,0,130,girl stay bed girl need recovery time id rather pas fun cooped bed
546,0,23,special
547,0,149,know need get hotel got invitation apologise cali sweet come english bloke weddin
548,0,32,sorry took long omw
549,0,22,wait lt gt min
550,0,101,ok give minute think see btw alibi cutting hair whole time
551,0,281,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
552,0,54,hurry weed deficient like three day
553,0,120,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
554,0,138,ok every night take warm bath drink cup milk see work magic still need loose weight know
555,0,127,look frying pan case cheap book perhaps silly frying pan likely book
556,0,66,well uv cause mutation sunscreen like essential thesedays
557,0,40,lunch online
558,0,40,know friend already told
559,0,70,hi princess thank pic pretty
560,0,160,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee
561,0,26,hi msg office
562,0,32,thanx e brownie v nice
563,0,51,geeeee love much barely stand
564,1,159,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
565,0,146,fuck babe miss already know let send money towards net need want crave
566,0,103,ill call u mrw ninish address icky american freek wont stop callin bad jen k eh
567,0,45,oooh bed ridden ey thinking
568,0,142,anyways go gym whatever love smile hope ok good day babe miss much already
569,0,92,love daddy make scream pleasure going slap as dick
570,0,26,wot u wan na missy
571,0,134,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee
572,0,37,know lab goggles went
573,0,22,open door
574,0,22,waiting call
575,0,33,nope waiting sch daddy
576,1,69,cash prize claim call
577,0,109,tired arguing week week want
578,0,35,wait sch finish ard
579,1,99,mobile number claim call u back ring claim hot line
